IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.150.168,4,4,0.00,5.64,0.00
172.64.152.238,4,4,0.00,5.64,0.00
104.16.198.231,4,4,0.00,5.65,0.00
104.16.193.139,4,4,0.00,5.65,0.00
104.16.144.105,4,4,0.00,5.65,0.00
104.17.223.242,4,4,0.00,5.65,0.00
198.41.212.193,4,4,0.00,5.65,0.00
104.17.167.170,4,4,0.00,5.65,0.00
104.16.193.182,4,4,0.00,5.65,0.00
104.17.146.106,4,4,0.00,5.65,0.00
104.16.205.145,4,4,0.00,5.65,0.00
104.17.126.147,4,4,0.00,5.65,0.00
104.17.220.117,4,4,0.00,5.65,0.00
104.16.146.104,4,4,0.00,5.66,0.00
104.17.116.253,4,4,0.00,5.66,0.00
104.16.197.211,4,4,0.00,5.66,0.00
104.18.85.201,4,4,0.00,5.66,0.00
104.17.119.163,4,4,0.00,5.66,0.00
104.18.42.167,4,4,0.00,5.66,0.00
104.18.86.170,4,4,0.00,5.66,0.00
104.18.93.209,4,4,0.00,5.66,0.00
104.17.150.145,4,4,0.00,5.66,0.00
104.16.207.236,4,4,0.00,5.66,0.00
104.17.215.230,4,4,0.00,5.66,0.00
104.16.153.252,4,4,0.00,5.66,0.00
104.16.151.246,4,4,0.00,5.66,0.00
172.64.156.159,4,4,0.00,5.66,0.00
104.16.196.245,4,4,0.00,5.66,0.00
104.16.192.163,4,4,0.00,5.66,0.00
104.17.222.102,4,4,0.00,5.67,0.00
104.17.125.206,4,4,0.00,5.67,0.00
104.16.146.172,4,4,0.00,5.67,0.00
104.19.157.119,4,4,0.00,5.67,0.00
172.64.159.146,4,4,0.00,5.67,0.00
104.16.153.191,4,4,0.00,5.67,0.00
104.17.191.141,4,4,0.00,5.67,0.00
104.16.151.241,4,4,0.00,5.67,0.00
104.18.90.203,4,4,0.00,5.67,0.00
104.16.148.235,4,4,0.00,5.68,0.00
104.16.193.221,4,4,0.00,5.68,0.00
104.18.94.205,4,4,0.00,5.68,0.00
104.18.81.194,4,4,0.00,5.68,0.00
104.16.153.181,4,4,0.00,5.68,0.00
104.16.150.104,4,4,0.00,5.68,0.00
104.16.204.204,4,4,0.00,5.68,0.00
104.18.176.236,4,4,0.00,5.68,0.00
104.16.144.204,4,4,0.00,5.68,0.00
162.159.153.143,4,4,0.00,5.68,0.00
104.17.106.222,4,4,0.00,5.68,0.00
104.16.158.103,4,4,0.00,5.68,0.00
104.17.216.122,4,4,0.00,5.68,0.00
104.16.145.235,4,4,0.00,5.69,0.00
104.17.175.231,4,4,0.00,5.69,0.00
104.17.121.230,4,4,0.00,5.69,0.00
104.16.146.153,4,4,0.00,5.69,0.00
104.16.158.242,4,4,0.00,5.69,0.00
104.19.147.5,4,4,0.00,5.69,0.00
172.64.157.132,4,4,0.00,5.69,0.00
104.16.146.223,4,4,0.00,5.69,0.00
104.19.159.198,4,4,0.00,5.69,0.00
104.16.198.151,4,4,0.00,5.69,0.00
104.17.179.170,4,4,0.00,5.69,0.00
104.17.216.213,4,4,0.00,5.69,0.00
104.18.91.151,4,4,0.00,5.69,0.00
104.19.146.140,4,4,0.00,5.69,0.00
104.17.180.160,4,4,0.00,5.70,0.00
104.17.155.151,4,4,0.00,5.70,0.00
104.16.152.212,4,4,0.00,5.70,0.00
104.16.242.211,4,4,0.00,5.70,0.00
104.16.155.229,4,4,0.00,5.70,0.00
104.16.158.241,4,4,0.00,5.70,0.00
104.17.151.207,4,4,0.00,5.70,0.00
198.41.208.115,4,4,0.00,5.70,0.00
172.64.159.153,4,4,0.00,5.70,0.00
104.19.145.106,4,4,0.00,5.70,0.00
104.16.198.138,4,4,0.00,5.70,0.00
104.17.213.248,4,4,0.00,5.70,0.00
104.16.155.153,4,4,0.00,5.70,0.00
104.18.45.132,4,4,0.00,5.70,0.00
104.16.147.171,4,4,0.00,5.70,0.00
104.16.155.115,4,4,0.00,5.70,0.00
104.17.174.218,4,4,0.00,5.70,0.00
198.41.221.161,4,4,0.00,5.71,0.00
104.16.157.75,4,4,0.00,5.71,0.00
104.16.150.229,4,4,0.00,5.71,0.00
104.17.209.187,4,4,0.00,5.71,0.00
104.17.146.210,4,4,0.00,5.71,0.00
172.64.229.138,4,4,0.00,5.71,0.00
104.16.154.244,4,4,0.00,5.71,0.00
104.17.126.195,4,4,0.00,5.71,0.00
104.17.157.241,4,4,0.00,5.71,0.00
104.16.193.238,4,4,0.00,5.71,0.00
104.16.152.101,4,4,0.00,5.71,0.00
104.17.158.192,4,4,0.00,5.71,0.00
104.17.175.181,4,4,0.00,5.71,0.00
104.17.181.154,4,4,0.00,5.72,0.00
104.16.144.151,4,4,0.00,5.72,0.00
104.16.155.151,4,4,0.00,5.72,0.00
104.16.146.165,4,4,0.00,5.72,0.00
172.64.229.208,4,4,0.00,5.72,0.00
104.17.145.138,4,4,0.00,5.72,0.00
104.16.207.221,4,4,0.00,5.72,0.00
104.17.103.174,4,4,0.00,5.72,0.00
104.17.161.202,4,4,0.00,5.72,0.00
104.17.157.209,4,4,0.00,5.72,0.00
104.18.176.153,4,4,0.00,5.72,0.00
104.19.149.237,4,4,0.00,5.72,0.00
104.16.248.108,4,4,0.00,5.72,0.00
104.16.195.112,4,4,0.00,5.72,0.00
104.17.161.255,4,4,0.00,5.72,0.00
104.17.126.207,4,4,0.00,5.72,0.00
104.16.147.197,4,4,0.00,5.72,0.00
104.16.255.221,4,4,0.00,5.72,0.00
104.16.144.130,4,4,0.00,5.72,0.00
104.16.192.116,4,4,0.00,5.72,0.00
104.17.166.233,4,4,0.00,5.72,0.00
104.18.42.171,4,4,0.00,5.73,0.00
104.17.114.160,4,4,0.00,5.73,0.00
104.16.148.133,4,4,0.00,5.73,0.00
104.16.148.110,4,4,0.00,5.73,0.00
104.16.154.101,4,4,0.00,5.73,0.00
104.17.113.221,4,4,0.00,5.73,0.00
104.17.120.140,4,4,0.00,5.73,0.00
104.18.47.105,4,4,0.00,5.73,0.00
104.16.196.197,4,4,0.00,5.73,0.00
104.19.147.137,4,4,0.00,5.73,0.00
104.18.89.171,4,4,0.00,5.73,0.00
104.16.204.188,4,4,0.00,5.73,0.00
104.19.154.181,4,4,0.00,5.73,0.00
104.19.153.193,4,4,0.00,5.74,0.00
104.16.153.239,4,4,0.00,5.74,0.00
104.16.150.126,4,4,0.00,5.74,0.00
104.16.245.190,4,4,0.00,5.74,0.00
104.16.144.211,4,4,0.00,5.74,0.00
104.17.191.251,4,4,0.00,5.74,0.00
104.17.108.208,4,4,0.00,5.74,0.00
104.16.147.225,4,4,0.00,5.74,0.00
104.16.154.186,4,4,0.00,5.74,0.00
104.16.200.171,4,4,0.00,5.74,0.00
104.16.144.115,4,4,0.00,5.74,0.00
104.17.126.200,4,4,0.00,5.75,0.00
104.19.145.184,4,4,0.00,5.75,0.00
104.16.198.137,4,4,0.00,5.75,0.00
104.17.112.227,4,4,0.00,5.75,0.00
104.17.190.143,4,4,0.00,5.75,0.00
104.17.120.142,4,4,0.00,5.75,0.00
104.17.213.185,4,4,0.00,5.75,0.00
104.16.147.194,4,4,0.00,5.75,0.00
104.17.146.125,4,4,0.00,5.75,0.00
104.16.198.123,4,4,0.00,5.75,0.00
104.16.148.214,4,4,0.00,5.75,0.00
104.16.152.159,4,4,0.00,5.75,0.00
162.159.152.154,4,4,0.00,5.75,0.00
198.41.220.120,4,4,0.00,5.75,0.00
162.159.152.104,4,4,0.00,5.75,0.00
104.16.144.171,4,4,0.00,5.75,0.00
104.17.216.120,4,4,0.00,5.75,0.00
104.16.153.226,4,4,0.00,5.76,0.00
104.16.149.221,4,4,0.00,5.76,0.00
104.16.192.173,4,4,0.00,5.76,0.00
104.18.81.234,4,4,0.00,5.76,0.00
162.159.153.166,4,4,0.00,5.76,0.00
104.17.116.161,4,4,0.00,5.76,0.00
104.16.159.255,4,4,0.00,5.76,0.00
104.16.156.192,4,4,0.00,5.76,0.00
104.16.254.110,4,4,0.00,5.76,0.00
104.17.171.222,4,4,0.00,5.76,0.00
104.16.244.178,4,4,0.00,5.76,0.00
104.16.240.189,4,4,0.00,5.76,0.00
104.17.181.161,4,4,0.00,5.77,0.00
104.16.151.157,4,4,0.00,5.77,0.00
104.16.151.181,4,4,0.00,5.77,0.00
104.16.193.237,4,4,0.00,5.77,0.00
104.16.148.29,4,4,0.00,5.77,0.00
104.16.158.107,4,4,0.00,5.77,0.00
104.17.156.211,4,4,0.00,5.77,0.00
104.16.250.151,4,4,0.00,5.77,0.00
104.16.255.125,4,4,0.00,5.77,0.00
104.16.253.144,4,4,0.00,5.77,0.00
104.17.125.243,4,4,0.00,5.77,0.00
104.16.159.249,4,4,0.00,5.77,0.00
162.159.152.206,4,4,0.00,5.77,0.00
172.64.158.102,4,4,0.00,5.77,0.00
104.18.47.211,4,4,0.00,5.77,0.00
104.16.192.231,4,4,0.00,5.78,0.00
104.16.144.224,4,4,0.00,5.78,0.00
172.64.157.247,4,4,0.00,5.78,0.00
104.16.193.150,4,4,0.00,5.78,0.00
104.16.195.141,4,4,0.00,5.78,0.00
104.17.168.39,4,4,0.00,5.78,0.00
104.16.147.111,4,4,0.00,5.78,0.00
104.17.103.181,4,4,0.00,5.78,0.00
104.17.119.249,4,4,0.00,5.78,0.00
104.17.123.231,4,4,0.00,5.78,0.00
104.17.217.142,4,4,0.00,5.78,0.00
104.17.149.158,4,4,0.00,5.78,0.00
104.19.156.228,4,4,0.00,5.78,0.00
104.16.147.53,4,4,0.00,5.78,0.00
104.16.158.231,4,4,0.00,5.78,0.00
104.18.93.230,4,4,0.00,5.78,0.00
104.18.85.69,4,4,0.00,5.78,0.00
104.17.216.13,4,4,0.00,5.78,0.00
104.18.84.223,4,4,0.00,5.78,0.00
104.17.119.129,4,4,0.00,5.78,0.00
104.17.174.225,4,4,0.00,5.78,0.00
104.16.157.191,4,4,0.00,5.78,0.00
104.16.146.196,4,4,0.00,5.78,0.00
104.17.185.53,4,4,0.00,5.79,0.00
104.16.149.99,4,4,0.00,5.79,0.00
104.16.158.144,4,4,0.00,5.79,0.00
104.16.146.101,4,4,0.00,5.79,0.00
104.18.80.142,4,4,0.00,5.79,0.00
104.16.149.141,4,4,0.00,5.79,0.00
104.19.150.131,4,4,0.00,5.79,0.00
104.18.35.151,4,4,0.00,5.79,0.00
104.16.146.114,4,4,0.00,5.79,0.00
172.64.154.191,4,4,0.00,5.79,0.00
104.16.162.3,4,4,0.00,5.79,0.00
104.16.244.151,4,4,0.00,5.79,0.00
104.17.168.252,4,4,0.00,5.79,0.00
104.17.104.178,4,4,0.00,5.79,0.00
104.17.170.116,4,4,0.00,5.79,0.00
104.19.154.79,4,4,0.00,5.79,0.00
104.17.211.158,4,4,0.00,5.79,0.00
104.16.243.143,4,4,0.00,5.79,0.00
104.16.148.132,4,4,0.00,5.79,0.00
104.16.144.216,4,4,0.00,5.79,0.00
172.64.155.157,4,4,0.00,5.79,0.00
104.17.212.191,4,4,0.00,5.80,0.00
104.17.162.146,4,4,0.00,5.80,0.00
104.16.144.136,4,4,0.00,5.80,0.00
104.16.144.172,4,4,0.00,5.80,0.00
104.19.153.220,4,4,0.00,5.80,0.00
104.17.149.85,4,4,0.00,5.80,0.00
104.17.153.33,4,4,0.00,5.80,0.00
104.16.144.215,4,4,0.00,5.80,0.00
104.16.206.165,4,4,0.00,5.80,0.00
104.19.147.207,4,4,0.00,5.80,0.00
104.19.153.151,4,4,0.00,5.80,0.00
104.16.193.231,4,4,0.00,5.80,0.00
104.17.118.217,4,4,0.00,5.80,0.00
104.16.201.129,4,4,0.00,5.80,0.00
104.16.158.170,4,4,0.00,5.80,0.00
104.17.123.255,4,4,0.00,5.80,0.00
104.19.153.186,4,4,0.00,5.81,0.00
104.16.201.255,4,4,0.00,5.81,0.00
104.16.244.123,4,4,0.00,5.81,0.00
104.16.193.181,4,4,0.00,5.81,0.00
172.64.156.134,4,4,0.00,5.81,0.00
104.16.202.214,4,4,0.00,5.81,0.00
162.159.152.116,4,4,0.00,5.81,0.00
104.19.151.168,4,4,0.00,5.81,0.00
104.17.173.111,4,4,0.00,5.81,0.00
104.16.148.180,4,4,0.00,5.81,0.00
172.64.144.194,4,4,0.00,5.81,0.00
104.16.146.247,4,4,0.00,5.82,0.00
104.16.196.199,4,4,0.00,5.82,0.00
104.17.157.229,4,4,0.00,5.82,0.00
104.19.158.172,4,4,0.00,5.82,0.00
162.159.153.146,4,4,0.00,5.82,0.00
104.17.173.186,4,4,0.00,5.82,0.00
104.17.175.69,4,4,0.00,5.82,0.00
104.16.144.197,4,4,0.00,5.82,0.00
104.16.145.101,4,4,0.00,5.82,0.00
104.17.181.248,4,4,0.00,5.82,0.00
104.17.211.59,4,4,0.00,5.82,0.00
198.41.212.223,4,4,0.00,5.82,0.00
104.16.252.160,4,4,0.00,5.82,0.00
104.17.167.184,4,4,0.00,5.82,0.00
104.17.216.224,4,4,0.00,5.82,0.00
104.16.195.221,4,4,0.00,5.82,0.00
104.16.155.187,4,4,0.00,5.83,0.00
104.17.166.143,4,4,0.00,5.83,0.00
104.16.150.131,4,4,0.00,5.83,0.00
104.16.145.201,4,4,0.00,5.83,0.00
104.17.111.211,4,4,0.00,5.83,0.00
104.17.151.154,4,4,0.00,5.83,0.00
104.17.180.225,4,4,0.00,5.83,0.00
104.18.90.140,4,4,0.00,5.83,0.00
104.17.144.142,4,4,0.00,5.83,0.00
104.16.198.5,4,4,0.00,5.83,0.00
104.17.147.253,4,4,0.00,5.83,0.00
104.16.148.184,4,4,0.00,5.83,0.00
104.17.125.252,4,4,0.00,5.83,0.00
104.16.152.244,4,4,0.00,5.84,0.00
104.17.118.247,4,4,0.00,5.84,0.00
104.18.82.211,4,4,0.00,5.84,0.00
104.17.146.214,4,4,0.00,5.84,0.00
172.64.158.216,4,4,0.00,5.84,0.00
104.16.196.206,4,4,0.00,5.84,0.00
104.18.90.201,4,4,0.00,5.84,0.00
104.16.151.121,4,4,0.00,5.84,0.00
104.16.158.109,4,4,0.00,5.84,0.00
104.18.94.197,4,4,0.00,5.84,0.00
172.64.155.182,4,4,0.00,5.84,0.00
104.16.155.224,4,4,0.00,5.84,0.00
104.17.191.177,4,4,0.00,5.84,0.00
104.17.157.243,4,4,0.00,5.84,0.00
104.17.162.101,4,4,0.00,5.84,0.00
104.17.123.165,4,4,0.00,5.84,0.00
104.17.213.158,4,4,0.00,5.84,0.00
104.16.204.215,4,4,0.00,5.84,0.00
104.17.219.186,4,4,0.00,5.84,0.00
104.16.240.117,4,4,0.00,5.84,0.00
104.16.201.126,4,4,0.00,5.84,0.00
104.17.168.234,4,4,0.00,5.84,0.00
104.17.162.208,4,4,0.00,5.84,0.00
104.17.169.118,4,4,0.00,5.84,0.00
104.16.153.158,4,4,0.00,5.84,0.00
104.17.144.154,4,4,0.00,5.84,0.00
104.18.43.110,4,4,0.00,5.84,0.00
104.17.168.199,4,4,0.00,5.84,0.00
104.16.153.149,4,4,0.00,5.84,0.00
104.17.155.85,4,4,0.00,5.84,0.00
104.16.148.230,4,4,0.00,5.85,0.00
104.17.144.179,4,4,0.00,5.85,0.00
104.17.173.246,4,4,0.00,5.85,0.00
104.16.207.180,4,4,0.00,5.85,0.00
104.17.151.244,4,4,0.00,5.85,0.00
104.16.152.181,4,4,0.00,5.85,0.00
104.17.148.219,4,4,0.00,5.85,0.00
104.16.153.204,4,4,0.00,5.85,0.00
104.17.183.208,4,4,0.00,5.85,0.00
104.17.211.227,4,4,0.00,5.85,0.00
104.18.86.213,4,4,0.00,5.85,0.00
104.16.154.189,4,4,0.00,5.85,0.00
104.17.222.212,4,4,0.00,5.86,0.00
104.16.144.118,4,4,0.00,5.86,0.00
104.17.210.131,4,4,0.00,5.86,0.00
104.17.106.128,4,4,0.00,5.86,0.00
104.16.193.127,4,4,0.00,5.86,0.00
104.18.40.184,4,4,0.00,5.86,0.00
104.17.161.218,4,4,0.00,5.86,0.00
104.17.156.216,4,4,0.00,5.86,0.00
104.17.184.171,4,4,0.00,5.86,0.00
104.16.149.53,4,4,0.00,5.86,0.00
104.17.156.120,4,4,0.00,5.86,0.00
104.17.184.215,4,4,0.00,5.86,0.00
104.17.216.128,4,4,0.00,5.86,0.00
172.64.155.241,4,4,0.00,5.86,0.00
104.19.149.195,4,4,0.00,5.86,0.00
104.17.169.219,4,4,0.00,5.87,0.00
104.18.43.189,4,4,0.00,5.87,0.00
104.17.151.109,4,4,0.00,5.87,0.00
104.16.144.200,4,4,0.00,5.87,0.00
104.16.148.146,4,4,0.00,5.87,0.00
104.17.210.69,4,4,0.00,5.87,0.00
104.17.169.172,4,4,0.00,5.87,0.00
104.17.147.124,4,4,0.00,5.87,0.00
104.17.214.177,4,4,0.00,5.87,0.00
104.16.249.255,4,4,0.00,5.87,0.00
104.19.160.199,4,4,0.00,5.87,0.00
104.16.203.171,4,4,0.00,5.87,0.00
104.16.253.165,4,4,0.00,5.87,0.00
172.64.156.204,4,4,0.00,5.87,0.00
104.18.43.126,4,4,0.00,5.87,0.00
104.18.44.150,4,4,0.00,5.87,0.00
104.16.197.151,4,4,0.00,5.87,0.00
104.16.204.114,4,4,0.00,5.87,0.00
104.16.145.245,4,4,0.00,5.87,0.00
104.17.125.241,4,4,0.00,5.87,0.00
104.17.118.186,4,4,0.00,5.87,0.00
104.16.193.175,4,4,0.00,5.87,0.00
104.16.198.15,4,4,0.00,5.88,0.00
104.16.144.210,4,4,0.00,5.88,0.00
104.16.144.170,4,4,0.00,5.88,0.00
104.18.35.192,4,4,0.00,5.88,0.00
104.17.122.151,4,4,0.00,5.88,0.00
104.19.152.110,4,4,0.00,5.88,0.00
104.17.210.147,4,4,0.00,5.88,0.00
104.17.153.141,4,4,0.00,5.88,0.00
104.16.151.238,4,4,0.00,5.88,0.00
104.16.150.132,4,4,0.00,5.88,0.00
104.17.175.149,4,4,0.00,5.88,0.00
104.17.127.163,4,4,0.00,5.88,0.00
104.16.158.237,4,4,0.00,5.88,0.00
104.16.146.180,4,4,0.00,5.88,0.00
104.17.126.171,4,4,0.00,5.88,0.00
104.16.146.147,4,4,0.00,5.88,0.00
104.17.215.173,4,4,0.00,5.88,0.00
104.17.177.130,4,4,0.00,5.89,0.00
104.16.159.236,4,4,0.00,5.89,0.00
104.16.161.159,4,4,0.00,5.89,0.00
104.17.153.139,4,4,0.00,5.89,0.00
104.16.155.45,4,4,0.00,5.89,0.00
104.17.181.170,4,4,0.00,5.89,0.00
104.18.80.216,4,4,0.00,5.89,0.00
104.19.147.128,4,4,0.00,5.89,0.00
104.17.145.122,4,4,0.00,5.89,0.00
104.17.169.167,4,4,0.00,5.89,0.00
104.18.45.101,4,4,0.00,5.89,0.00
104.16.206.181,4,4,0.00,5.89,0.00
104.16.153.198,4,4,0.00,5.89,0.00
104.16.198.150,4,4,0.00,5.89,0.00
104.17.117.156,4,4,0.00,5.89,0.00
104.17.165.153,4,4,0.00,5.89,0.00
104.16.241.130,4,4,0.00,5.89,0.00
104.16.208.175,4,4,0.00,5.89,0.00
104.17.216.230,4,4,0.00,5.90,0.00
104.17.171.254,4,4,0.00,5.90,0.00
104.16.146.200,4,4,0.00,5.90,0.00
104.16.148.255,4,4,0.00,5.90,0.00
104.17.123.202,4,4,0.00,5.90,0.00
104.16.151.63,4,4,0.00,5.90,0.00
104.16.146.176,4,4,0.00,5.90,0.00
104.17.174.168,4,4,0.00,5.90,0.00
104.16.145.155,4,4,0.00,5.90,0.00
104.17.114.108,4,4,0.00,5.90,0.00
